experiment,ATE,ATE_adjusted,ATE_unadjusted,batch_size,desc,epochs,model_name,seed,treatment_column
exp19,-0.308383188637591,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,1000,T_proxy
exp2,-0.30907081034949024,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp20,-0.22384502481958876,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,1000,T_proxy
exp21,0.08155954365953856,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp22,-0.08981535955653584,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp23,-0.35292110612125505,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp24,-0.3706941531925357,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2000,T_proxy
exp25,-0.15089789148880134,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp26,-0.2973724307608749,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp27,0.1421644407844153,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp28,0.08496311244949963,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3000,T_proxy
exp29,-0.22488968853810876,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp3,-0.14173428774868502,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,42,T_proxy
exp30,-0.24600129834923185,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp31,-0.16197037606882528,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp32,0.023946850276253557,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,4000,T_proxy
exp33,-0.3330569435351494,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp34,-0.5732017167323492,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp35,-0.3518403947066216,0.0616701861602682,-0.13708215718318228,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp36,-0.25211570123223254,0.26177539882702927,-0.14044718466795425,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Watch_preprocess_sharpness_ave_t0.8c10.0_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,5000,T_proxy
exp37,-0.16034630051603851,0.10276568161993124,-0.16592980052722262,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
exp38,-0.2454680809710865,0.5351638324644239,-0.21985594785893686,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliance_preprocess_sharpness_ave_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,6000,T_proxy
