exp_name,seed,model_name,batch_size,epochs,ATE,desc,treatment_column,confounds_column,ATE_unadjusted,ATE_adjusted
exp29,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09562095331776502,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp30,1000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11289047930137647,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp31,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1525436346741741,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp32,2000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.17392157059475574,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp33,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.09909072003426743,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp34,3000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1443121193284996,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp35,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11145771922089749,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp36,4000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.12333970141051354,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp37,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.184256129744049,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp38,5000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.1992923317791343,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
exp39,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.08819589953332192,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.16413125035833842,-0.14501529384999173
exp40,6000,timm/eva02_tiny_patch14_224.mim_in22k,32,3,-0.11608658402478102,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,T_proxy,contains_text,-0.17633644682755129,-0.131416489095175
