experiment,ATE,batch_size,desc,epochs,model_name,seed,treatment_column
exp22,-0.078537646796442,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2223,T_proxy
exp23,-0.19346635824656866,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2425,T_proxy
exp24,-0.1615379617231448,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2425,T_proxy
exp25,-0.14549006702653158,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2627,T_proxy
exp26,-0.13730211395044684,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2627,T_proxy
exp27,-0.1534382949697845,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2829,T_proxy
exp28,-0.15985016139814692,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,2829,T_proxy
exp29,-0.1256216392695248,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3031,T_proxy
exp3,-0.1134633802077881,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,123,T_proxy
exp30,-0.18472296286893503,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c10_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3031,T_proxy
exp31,-0.14642250405346707,32,/root/graduation_thetis/causal-bert-pytorch/input/modelinput/noise-T-boost/Appliances_preprocess_contains_text_t0.8c0.8_noise0.5_1221-T_boost.csv,3,timm/eva02_tiny_patch14_224.mim_in22k,3233,T_proxy
