Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,avg_brightness,light_or_dark
11434,GUESS Analog White Dial Women's Watch - W0767L3,accessories,Watches,https://m.media-amazon.com/images/I/81qdLw8O4AS._AC_UL320_.jpg,https://www.amazon.in/Guess-Analog-White-Womens-Watch-W0767L3/dp/B019R03NFW/ref=sr_1_11462?qid=1679156037&s=watches&sr=1-11462,4.0,14,,19794.42,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11434.jpg,2177386.2,12284.667249770573,1,195.88594508023647,0
11438,Titan HTSE 3 Analog Black Dial Women's Watch-2523NL01 / 2523NL01,accessories,Watches,https://m.media-amazon.com/images/I/81A4CCIL-sL._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Black-womens-Watch/dp/B00MXRJBC6/ref=sr_1_11466?qid=1679156037&s=watches&sr=1-11466,2.7,25,,11980.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11438.jpg,1317800.0,11768.091095628579,1,135.31643390957444,0
11441,Citizen Axiom Eco-Drive Ladies Watch,accessories,Watches,https://m.media-amazon.com/images/I/71m+WilQjuL._AC_UL320_.jpg,https://www.amazon.in/Citizen-Eco-Drive-Womens-GA1052-55E-Display/dp/B00KCF82TE/ref=sr_1_11469?qid=1679156037&s=watches&sr=1-11469,4.6,225,"₹14,668",17900.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11441.jpg,1969000.0,7015.864682464843,0,164.23670147916667,0
11443,Gio Collection Analog Pink Dial Women's Watch - GLC-4001B,accessories,Watches,https://m.media-amazon.com/images/I/71hsrZlIVBL._AC_UL320_.jpg,https://www.amazon.in/Gio-Collection-Analog-Womens-Watch/dp/B00H2CUVGW/ref=sr_1_11471?qid=1679156037&s=watches&sr=1-11471,2.6,14,"₹1,455",4850.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11443.jpg,533500.0,18540.42327252345,1,195.82457011029413,0
11453,Goldenize fashion Branded Rose Gold Analogue Kids and Baby Girl Magnet Belt Diamond Stylish Watch for Women and Girl,accessories,Watches,https://m.media-amazon.com/images/I/71EnJCYQ9HL._AC_UL320_.jpg,https://www.amazon.in/Goldenize-fashion-Branded-Analogue-Diamond/dp/B09SV6R1K7/ref=sr_1_11477?qid=1679156038&s=watches&sr=1-11477,4.1,2,₹298,599.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11453.jpg,65890.0,23413.85002550583,1,165.31348834876545,0
11464,Ferro Analog Black Dial Men's Watch-FM11180A-A2,accessories,Watches,https://m.media-amazon.com/images/I/61R1iwMOL9L._AC_UL320_.jpg,https://www.amazon.in/Ferro-Analog-Black-Dial-Watch-FM11180A-A2/dp/B09RWL17D1/ref=sr_1_11488?qid=1679156038&s=watches&sr=1-11488,2.0,1,"₹7,439",9300.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11464.jpg,1023000.0,16762.791420511327,1,173.08169274671053,0
11470,"MIVAAN Analogue Leather Strap Girls & Women's Watch (Dial & Strap Black & Pink, Blue) (Pack of 3)",accessories,Watches,https://m.media-amazon.com/images/I/81kCHnIu+pL._AC_UL320_.jpg,https://www.amazon.in/MIVAAN-Analogue-Leather-Strap-Womens/dp/B09PHRDQZ9/ref=sr_1_11498?qid=1679156038&s=watches&sr=1-11498,3.6,2,₹449,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11470.jpg,219890.0,7449.824703592659,0,188.2709226928711,0
11475,R1O Branded Round Black Dial Magnate Analog Watch for Girls Or Women.,accessories,Watches,https://m.media-amazon.com/images/I/71bqJh9DnlL._AC_UL320_.jpg,https://www.amazon.in/Branded-Round-Magnate-Analog-Women/dp/B09MLM95GQ/ref=sr_1_11503?qid=1679156038&s=watches&sr=1-11503,5.0,1,₹249,700.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11475.jpg,77000.0,28471.55089101113,1,186.7413871981534,0
11476,Jaazi International Style Design and Strap Unique Watch for Women Dashing Look Perfect Analog Watch Analog Watch,accessories,Watches,https://m.media-amazon.com/images/I/41KIDcKHPJL._AC_UL320_.jpg,https://www.amazon.in/Design-Unique-Dashing-Perfect-Analog/dp/B09L6ZTK23/ref=sr_1_11504?qid=1679156038&s=watches&sr=1-11504,5.0,1,₹399,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11476.jpg,109890.0,2342.797484538729,0,109.76198706219809,0
11478,"Fastrack Womens Black Dial Analogue Watch (WFT6256SP02N, Not assigned, Not assigned)",accessories,Watches,https://m.media-amazon.com/images/I/41plgTI8ggL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Womens-Analogue-WFT6256SP02N-assigned/dp/B09JQS1C11/ref=sr_1_11506?qid=1679156038&s=watches&sr=1-11506,5.0,1,,1895.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/11478.jpg,208450.0,3284.7241345271564,0,156.83894187104428,0
